,date,departamento,new_cases,new_deaths,median_age,population
451,2020-08-04,ANTIOQUIA,1054,48.0,31.3,6677930
452,2020-08-05,ANTIOQUIA,1391,33.0,31.3,6677930
453,2020-08-06,ANTIOQUIA,1360,49.0,31.3,6677930
454,2020-08-07,ANTIOQUIA,2102,41.0,31.3,6677930
455,2020-08-08,ANTIOQUIA,1504,51.0,31.3,6677930
456,2020-08-09,ANTIOQUIA,1604,42.0,31.3,6677930
457,2020-08-10,ANTIOQUIA,2398,35.0,31.3,6677930
458,2020-08-11,ANTIOQUIA,1746,42.0,31.3,6677930
459,2020-08-12,ANTIOQUIA,1655,43.0,31.3,6677930
460,2020-08-13,ANTIOQUIA,1615,36.0,31.3,6677930
461,2020-08-14,ANTIOQUIA,1762,33.0,31.3,6677930
462,2020-08-15,ANTIOQUIA,1686,47.0,31.3,6677930
463,2020-08-16,ANTIOQUIA,1425,35.0,31.3,6677930
464,2020-08-17,ANTIOQUIA,1027,31.0,31.3,6677930
465,2020-08-18,ANTIOQUIA,1415,43.0,31.3,6677930
466,2020-08-19,ANTIOQUIA,1525,37.0,31.3,6677930
467,2020-08-20,ANTIOQUIA,828,34.0,31.3,6677930
468,2020-08-21,ANTIOQUIA,1278,46.0,31.3,6677930
469,2020-08-22,ANTIOQUIA,1304,34.0,31.3,6677930
